,No.,Ticker,Market Cap,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Price,Change,Volume
9,209,GOOG,1847.97B,,,,,,,,,,,,2692.01,0.01,1170469
10,210,GOOGL,1773.21B,,0.22,0.32,0.24,2.9,2.9,0.06,0.06,0.57,0.31,0.3,2676.78,0,1380613
11,211,GPC,18.18B,0.03,0.06,0.27,0.15,1.2,0.6,0.69,0.69,0.35,0.06,0.05,128.05,0,1083033
12,212,GPN,37.62B,0.01,0.02,0.04,0.03,1.1,1.1,0.45,0.47,0.56,0.16,0.11,133.43,0,1673689
13,213,GRMN,22.46B,0.02,0.15,0.19,0.18,2.9,2.1,0,0,0.58,0.25,0.22,116.51,0.04,2189749
14,214,GS,116.00B,0.02,0.02,0.23,0.02,,,2.66,9.03,0.84,0.42,0.33,343.27,0.01,2391455
15,215,GWW,25.46B,0.01,0.16,0.57,0.28,2.6,1.4,1.26,1.26,0.36,0.12,0.08,498.09,0.01,191933
16,216,HAL,32.25B,0.01,0.07,0.25,0.13,2.3,1.8,1.37,1.38,0.13,0.12,0.1,35.89,0.06,13932347
17,217,HAS,12.46B,0.03,0.04,0.15,0.09,1.5,1.3,1.26,1.33,0.6,0.12,0.07,89.67,0,1009201
18,218,HBAN,21.95B,0.04,0.01,0.07,0.16,,,0.4,0.4,,0.97,0.28,15.19,0.02,10354312
19,219,HCA,81.05B,0.01,0.14,,0.23,1.4,1.2,,,0.84,0.17,0.12,266.97,0,1507922
20,220,HD,351.24B,0.02,0.21,7.48,0.37,1.1,0.4,35.47,37.82,0.34,0.14,0.1,336.36,0.02,3121521
1,221,HES,30.09B,0.01,0.03,0.1,0.08,1.4,1.3,1.29,1.38,0.71,0.25,0.08,97.14,0.03,3209985
2,222,HIG,23.33B,0.02,0.03,0.13,0.12,,,0.28,0.28,,0.14,0.11,70.34,0.01,2876377
3,223,HII,7.89B,0.02,0.06,0.24,0.07,1.1,1.1,1.17,0,0.14,0.05,0.06,197.33,0.02,540105
4,224,HLT,42.19B,,0.03,0.33,0.1,1,1,,,0.4,0.16,0.07,151.14,0,1666046
5,225,HOLX,18.47B,,0.2,0.42,0.27,2.7,2.3,0.63,0.68,0.66,0.41,0.31,73.9,0.02,1407483
