Date,Fighter,Sig. Str. Leg,Sig. Str. Leg Attempts,Opp Sig. Str. Leg,Opp Sig. Str. Leg Attempts,Sig. Str. Ground Landed,Sig. Str. Ground Attempts,Opp Sig. Str. Ground Landed,Opp Sig. Str. Ground Attempts,Total Strikes Landed,Total Strikes Attempts,Opp Total Strikes Landed,Opp Total Strikes Attempts,Total Takedowns Landed,Total Takedowns Attempts,Opp Total Takedowns Landed,Opp Total Takedowns Attempts,Submission Total Attempts,Opp Submission Total Attempts,Takedown %,Opp Takedown %,Sig. Str. Leg %,Opp Sig. Str. Leg %,Sig. Str. Ground %,Opp Sig. Str. Ground %,Total Strikes %,Opp Total Strikes %,KnockDown Total,Opp KnockDown Total,KnockDown Total Difference,Ground Time,Opp Ground Time,Standing Time,Opp Standing Time,Dominant Positions,Opp Dominant Positions,Top Strike Speed,Opp Top Strike Speed,Height,Weight,Reach,Leg Reach,Points,Inner Zone,Opp Inner Zone,Outer Zone,Opp Outer Zone,Sig. Str. Per KnockDown,Opp Sig. Str. Per KnockDown,Sig. Str. Punches Diff,Sig. Str. Diff,Sig. Str. Leg Diff,Sig. Str. Ground Diff,Odds,Total Wins,Win
8/16/2018 0:00,Herman Terrado,4,6,8,17,12,50,41,49,31,109,69,120,0,0,3,6,0,0,0,0.5,0.666666667,0.470588235,0.24,0.836734694,0.28440367,0.575,0,0,0,9.95,9.95,9.25,9.25,0,1,0,0,"5'9""",170,0,0,0,0,0,0,0,0,0,0,-0.29059633,0.196078431,-0.596734694,0,0,0
8/16/2018 0:00,Rick Story,6,10,15,26,18,20,1,5,113,219,56,182,5,8,2,4,0,0,0.625,0.5,0.6,0.576923077,0.9,0.2,0.515981735,0.307692308,0,0,0,11.8,11.8,12.76,12.76,3,2,0,0,"5'10""",170,0,0,8,0,0,0,0,0,0,0.125,0.208289427,0.023076923,0.7,0,2,1
8/16/2018 0:00,Carlton Minus,0,1,0,0,0,3,0,0,2,29,12,24,0,0,2,2,0,0,0,1,0,0,0,0,0.068965517,0.5,0,0,0,7.4,7.4,2.56,2.56,0,1,0,0,"5'10""",168,0,0,0,0,0,0,0,0,0,0,-0.431034483,nan,nan,0,0,0
8/16/2018 0:00,Joao Zeferino,9,18,15,38,0,0,1,6,39,80,22,88,1,3,0,2,0,0,0.333333333,0,0.5,0.394736842,0,0.166666667,0.4875,0.25,1,0,1,9.27,9.27,10.02,10.02,0,0,0,0,"5'9""",170,69,84,10,0,0,0,0,39,0,0.333333333,0.2375,0.105263158,nan,0,2,1
8/16/2018 0:00,Yuri Villefort,30,59,13,24,2,8,18,20,76,230,125,251,2,6,4,9,0,0,0.333333333,0.444444444,0.508474576,0.541666667,0.25,0.9,0.330434783,0.498007968,0,0,0,10.57,10.57,23.63,23.63,0,3,0,0,"6'0""",170,0,0,0,0,0,0,0,0,0,-0.111111111,-0.167573186,-0.03319209,-0.65,0,0,0
8/16/2018 0:00,Abubakar Nurmagomedov,15,22,5,22,32,41,22,52,57,108,48,152,3,6,0,1,0,0,0.5,0,0.681818182,0.227272727,0.780487805,0.423076923,0.527777778,0.315789474,0,2,-2,15.5,15.5,8.7,8.7,0,4,0,0,6'0,170,0,0,3,0,0,0,0,0,24,0.5,0.211988304,0.454545455,0.357410882,0,1,1
8/16/2018 0:00,Jonatan Westin,11,42,6,9,20,44,77,93,45,155,94,147,1,2,6,8,0,0,0.5,0.75,0.261904762,0.666666667,0.454545455,0.827956989,0.290322581,0.639455782,0,0,0,17.41,17.41,6.97,6.97,1,1,0,0,"5'11""",170,0,0,0,0,0,0,0,0,0,-0.25,-0.349133202,-0.404761905,-0.373411535,0,0,0
8/16/2018 0:00,Kayla Harrison,7,8,2,7,100,117,8,26,108,139,15,57,3,3,0,0,0,0,1,0,0.875,0.285714286,0.854700855,0.307692308,0.776978417,0.263157895,0,0,0,15.73,15.73,3.47,3.47,7,0,0,0,"5'8""",155,66,82,18,0,0,0,0,0,0,nan,0.513820523,0.589285714,0.547008547,0,2,1
8/16/2018 0:00,Jozette Cotton,2,7,6,7,8,26,73,89,12,53,79,108,0,0,2,2,0,0,0,1,0.285714286,0.857142857,0.307692308,0.820224719,0.226415094,0.731481481,0,0,0,11.45,11.45,3.15,3.15,0,1,0,0,5'9,155,0,0,0,0,0,0,0,0,0,0,-0.505066387,-0.571428571,-0.512532411,0,0,0
8/16/2018 0:00,Magomed Magomedkerimov,11,23,6,16,23,31,6,23,59,117,19,81,5,6,2,3,0,0,0.833333333,0.666666667,0.47826087,0.375,0.741935484,0.260869565,0.504273504,0.234567901,0,0,0,7.85,7.85,11.35,11.35,3,0,0,0,"6'1""",170,73,84,9,0,0,0,0,0,0,0.166666667,0.269705603,0.10326087,0.481065919,0,2,1
